CMPLNT_NUM,CMPLNT_FR_DT,LOC_OF_OCCUR_DESC,BORO_NM,ADDR_PCT_CD,LAT,LONG
406488668,2016-07-19,OUTSIDE,BRONX,40.0,40.819856355,-73.920140835
201700870,2016-07-19,OUTSIDE,BROOKLYN,76.0,40.67500776,-74.006577149
384853198,2016-07-18,OUTSIDE,QUEENS,113.0,40.672789843,-73.773651622
526807993,2016-07-17,OUTSIDE,QUEENS,114.0,40.764694063,-73.914348014
461457134,2016-07-17,OUTSIDE,BROOKLYN,67.0,40.651998977,-73.944869621
299070601,2016-07-16,INSIDE,BRONX,43.0,40.815720251,-73.864502585
809092061,2016-07-15,OUTSIDE,QUEENS,106.0,40.682140409,-73.826891092
410990665,2014-06-19,OUTSIDE,BRONX,52.0,40.863291107,-73.889806842
561466044,2015-12-23,OUTSIDE,BRONX,42.0,40.83797773,-73.885255456
634246019,2016-07-10,INSIDE,BROOKLYN,79.0,40.680536156,-73.957086365
193475489,2016-07-09,OUTSIDE,BRONX,47.0,40.88443116,-73.833004197
862723774,2016-07-05,INSIDE,MANHATTAN,28.0,40.801063787,-73.950481913
987352852,2011-10-01,OUTSIDE,MANHATTAN,7.0,40.713211258,-73.983881015
345567251,2016-07-04,INSIDE,QUEENS,113.0,40.682807656,-73.767816313
308756048,2016-07-04,OUTSIDE,BRONX,44.0,40.842271968,-73.905032007
313566147,2016-07-04,OUTSIDE,BROOKLYN,75.0,40.676152237,-73.893068674
981307325,2016-07-03,INSIDE,BROOKLYN,83.0,40.691103257,-73.912877554
122652748,2016-07-03,OUTSIDE,BRONX,41.0,40.814000554,-73.900780541
632177157,2016-06-30,OUTSIDE,BROOKLYN,75.0,40.670869804,-73.86317105
225765929,2016-06-29,INSIDE,BROOKLYN,73.0,40.675727746,-73.921495901
811663321,2016-06-29,OUTSIDE,BROOKLYN,75.0,40.66357893,-73.896646458
798201584,2016-06-29,OUTSIDE,BRONX,46.0,40.850660187,-73.908920209
937425141,2016-06-26,OUTSIDE,BROOKLYN,71.0,40.669788059,-73.958293685
740834077,2016-06-23,OUTSIDE,MANHATTAN,32.0,40.81725838,-73.940404581
306634418,2016-06-23,OUTSIDE,BROOKLYN,73.0,40.671025464,-73.906195082
816836420,2016-06-23,INSIDE,BRONX,45.0,40.872596004,-73.825563635
